indicator_id,region_id,date,value,zip
ZSFH,94915,2024-05-31,447526.75,85339
ZSFH,94915,2024-04-30,446274.31,85339
ZSFH,94915,2024-03-31,444504.15,85339
ZSFH,94915,2024-02-29,442772.87,85339
ZSFH,94915,2024-01-31,441626.76,85339
ZSFH,94915,2023-12-31,440806.59,85339
ZSFH,94915,2023-11-30,439703.67,85339
ZSFH,94915,2023-10-31,438308.26,85339
ZSFH,94915,2023-09-30,436786.16,85339
ZSFH,94915,2023-08-31,434962.57,85339
ZSFH,94915,2023-07-31,432427.69,85339
ZSFH,94915,2023-06-30,429708.23,85339
ZSFH,94915,2023-05-31,427755.84,85339
ZSFH,94915,2023-04-30,427129.22,85339
ZSFH,94915,2023-03-31,428648.92,85339
ZSFH,94915,2023-02-28,432654.67,85339
ZSFH,94915,2023-01-31,439592.1,85339
ZSFH,94915,2022-12-31,448561.56,85339
ZSFH,94915,2022-11-30,457971.53,85339
ZSFH,94915,2022-10-31,467737.64,85339
ZSFH,94915,2022-09-30,476646.31,85339
ZSFH,94915,2022-08-31,483758.11,85339
ZSFH,94915,2022-07-31,485354.78,85339
ZSFH,94915,2022-06-30,481195.6,85339
ZSFH,94915,2022-05-31,472441.41,85339
ZSFH,94915,2022-04-30,462213.39,85339
ZSFH,94915,2022-03-31,452237.74,85339
ZSFH,94915,2022-02-28,443561.27,85339
ZSFH,94915,2022-01-31,436461.77,85339
ZSFH,94915,2021-12-31,429638.58,85339
ZSFH,94915,2021-11-30,422470.73,85339
ZSFH,94915,2021-10-31,413967.87,85339
ZSFH,94915,2021-09-30,404438.23,85339
ZSFH,94915,2021-08-31,393854.94,85339
ZSFH,94915,2021-07-31,382100.3,85339
ZSFH,94915,2021-06-30,369689.98,85339
ZSFH,94915,2021-05-31,357686.02,85339
ZSFH,94915,2021-04-30,346698.11,85339
ZSFH,94915,2021-03-31,337521.66,85339
ZSFH,94915,2021-02-28,329298.44,85339
ZSFH,94915,2021-01-31,322314.57,85339
ZSFH,94915,2020-12-31,315444.6,85339
ZSFH,94915,2020-11-30,308772.44,85339
ZSFH,94915,2020-10-31,302232.9,85339
ZSFH,94915,2020-09-30,296675.53,85339
ZSFH,94915,2020-08-31,292193.45,85339
ZSFH,94915,2020-07-31,289300.54,85339
ZSFH,94915,2020-06-30,287462.51,85339
ZSFH,94915,2020-05-31,285771.62,85339
ZSFH,94915,2020-04-30,283573.28,85339
ZSFH,94915,2020-03-31,280635.44,85339
ZSFH,94915,2020-02-29,277554.38,85339
ZSFH,94915,2020-01-31,274866.38,85339
ZSFH,94915,2019-12-31,272393.34,85339
ZSFH,94915,2019-11-30,270317.84,85339
ZSFH,94915,2019-10-31,268340.56,85339
ZSFH,94915,2019-09-30,266713.4,85339
ZSFH,94915,2019-08-31,265412.4,85339
ZSFH,94915,2019-07-31,264414.27,85339
ZSFH,94915,2019-06-30,263642.22,85339
ZSFH,94915,2019-05-31,262725.32,85339
ZSFH,94915,2019-04-30,261785.97,85339
ZSFH,94915,2019-03-31,260744.86,85339
ZSFH,94915,2019-02-28,259683.68,85339
ZSFH,94915,2019-01-31,258587.23,85339
ZSFH,94915,2018-12-31,257477.24,85339
ZSFH,94915,2018-11-30,256309.86,85339
ZSFH,94915,2018-10-31,254802.54,85339
ZSFH,94915,2018-09-30,253137.6,85339
ZSFH,94915,2018-08-31,251280.11,85339
ZSFH,94915,2018-07-31,249531.97,85339
ZSFH,94915,2018-06-30,247717.6,85339
ZSFH,94915,2018-05-31,246062.93,85339
ZSFH,94915,2018-04-30,244435.56,85339
ZSFH,94915,2018-03-31,242664.14,85339
ZSFH,94915,2018-02-28,240462.72,85339
ZSFH,94915,2018-01-31,238270.61,85339
ZSFH,94915,2017-12-31,236576.44,85339
ZSFH,94915,2017-11-30,235471.25,85339
ZSFH,94915,2017-10-31,234445.9,85339
ZSFH,94915,2017-09-30,233208.98,85339
ZSFH,94915,2017-08-31,231995.3,85339
ZSFH,94915,2017-07-31,230728.78,85339
ZSFH,94915,2017-06-30,229513.15,85339
ZSFH,94915,2017-05-31,228165.87,85339
ZSFH,94915,2017-04-30,226835.35,85339
ZSFH,94915,2017-03-31,225546.31,85339
ZSFH,94915,2017-02-28,224182.81,85339
ZSFH,94915,2017-01-31,222730.03,85339
ZSFH,94915,2016-12-31,221303.44,85339
ZSFH,94915,2016-11-30,220136.15,85339
ZSFH,94915,2016-10-31,218938.63,85339
ZSFH,94915,2016-09-30,217692.13,85339
ZSFH,94915,2016-08-31,216213.37,85339
ZSFH,94915,2016-07-31,215184.47,85339
ZSFH,94915,2016-06-30,214149.53,85339
ZSFH,94915,2016-05-31,213067.38,85339
ZSFH,94915,2016-04-30,212031.15,85339
ZSFH,94915,2016-03-31,210706.42,85339
ZSFH,94915,2016-02-29,208971.47,85339
ZSFH,94915,2016-01-31,206831.56,85339
ZSFH,94915,2015-12-31,204649.08,85339
ZSFH,94915,2015-11-30,202909.02,85339
ZSFH,94915,2015-10-31,201112.09,85339
ZSFH,94915,2015-09-30,199277.88,85339
ZSFH,94915,2015-08-31,197369.75,85339
ZSFH,94915,2015-07-31,195673.33,85339
ZSFH,94915,2015-06-30,194189.35,85339
ZSFH,94915,2015-05-31,192906.71,85339
ZSFH,94915,2015-04-30,191764.33,85339
ZSFH,94915,2015-03-31,190979.93,85339
ZSFH,94915,2015-02-28,190456.47,85339
ZSFH,94915,2015-01-31,190221.25,85339
ZSFH,94915,2014-12-31,190051.97,85339
ZSFH,94915,2014-11-30,190360.09,85339
ZSFH,94915,2014-10-31,190598.54,85339
ZSFH,94915,2014-09-30,190791.14,85339
ZSFH,94915,2014-08-31,190175.17,85339
ZSFH,94915,2014-07-31,189454.46,85339
ZSFH,94915,2014-06-30,188860.09,85339
ZSFH,94915,2014-05-31,188469.81,85339
ZSFH,94915,2014-04-30,187973.21,85339
ZSFH,94915,2014-03-31,187013.6,85339
ZSFH,94915,2014-02-28,185030.27,85339
ZSFH,94915,2014-01-31,182946.57,85339
ZSFH,94915,2013-12-31,180778.16,85339
ZSFH,94915,2013-11-30,179001.38,85339
ZSFH,94915,2013-10-31,176733.13,85339
ZSFH,94915,2013-09-30,173966.85,85339
ZSFH,94915,2013-08-31,170956.57,85339
ZSFH,94915,2013-07-31,167519.25,85339
ZSFH,94915,2013-06-30,163869.87,85339
ZSFH,94915,2013-05-31,160249.3,85339
ZSFH,94915,2013-04-30,156782.32,85339
ZSFH,94915,2013-03-31,153643.59,85339
ZSFH,94915,2013-02-28,150677.06,85339
ZSFH,94915,2013-01-31,147674.89,85339
ZSFH,94915,2012-12-31,144396.45,85339
ZSFH,94915,2012-11-30,141302.64,85339
ZSFH,94915,2012-10-31,138005.96,85339
ZSFH,94915,2012-09-30,134418.27,85339
ZSFH,94915,2012-08-31,130517.18,85339
ZSFH,94915,2012-07-31,126905.79,85339
ZSFH,94915,2012-06-30,123696.89,85339
ZSFH,94915,2012-05-31,121015.19,85339
ZSFH,94915,2012-04-30,118898.49,85339
ZSFH,94915,2012-03-31,117614.95,85339
ZSFH,94915,2012-02-29,116883.13,85339
ZSFH,94915,2012-01-31,115848.52,85339
ZSFH,94915,2011-12-31,114835.3,85339
ZSFH,94915,2011-11-30,114028.25,85339
ZSFH,94915,2011-10-31,114043.53,85339
ZSFH,94915,2011-09-30,114224.88,85339
ZSFH,94915,2011-08-31,114522.91,85339
ZSFH,94915,2011-07-31,115167.26,85339
ZSFH,94915,2011-06-30,116279.85,85339
ZSFH,94915,2011-05-31,118130.15,85339
ZSFH,94915,2011-04-30,119596.16,85339
